gen_data,true_data
โรงพยาบาลอกคำใต้,โรงพยาบาลดอกคำใต้
โรงพยาบาลอนจาน,โรงพยาบาลดอนจาน
โรงพยาบาลดนเจดีย์,โรงพยาบาลดอนเจดีย์
โรพยาบาลดอนตาล,โรงพยาบาลดอนตาล
โรงพยาบาลดอนตู,โรงพยาบาลดอนตูม
รงพยาบาลดอนสัก,โรงพยาบาลดอนสัก
โรงพยาบาลดอยะเก็ด,โรงพยาบาลดอยสะเก็ด
โรงพยาบาลดอหล่อ,โรงพยาบาลดอยหล่อ
รงพยาบาลดาเนินสะดวก,โรงพยาบาลดาเนินสะดวก
โรงพยาบาลเดา,โรงพยาบาลเดชา
โรงพยาบาลตรการพืชผล,โรงพยาบาลตระการพืชผล
โรงพยาบาลตัง,โรงพยาบาลตรัง
โรงพยาบาลตรงรวมแพทย์,โรงพยาบาลตรังรวมแพทย์
โรงพยาบลตราด,โรงพยาบาลตราด
โรงพยาบาลตะกั่วท่ง,โรงพยาบาลตะกั่วทุ่ง
โรงพยาบาลตากฟ้,โรงพยาบาลตากฟ้า
โรงพยบาลตาคลี,โรงพยาบาลตาคลี
โรงพยาบาลถ้ำพรรณา,โรงพยาบาลถ้ำพรรณรา
โรงพยาาลเถิน,โรงพยาบาลเถิน
โรงพยาบลทรายทองวัฒนา,โรงพยาบาลทรายทองวัฒนา
โรงพาบาลทองผาภูมิ,โรงพยาบาลทองผาภูมิ
โรงยาบาลทักษิณสุราษฎร์,โรงพยาบาลทักษิณสุราษฎร์
โรงยาบาลทับปุด,โรงพยาบาลทับปุด
โรงยาบาลทัพทัน,โรงพยาบาลทัพทัน
โรงพยาบาท่าคันโท,โรงพยาบาลท่าคันโท
โรงพยาบาลท่าชน,โรงพยาบาลท่าชนะ
โรงพยาบาลทาตะเกียบ,โรงพยาบาลท่าตะเกียบ
โรงพยาาลท่าตูม,โรงพยาบาลท่าตูม
โรงพยาบลท่าแพ,โรงพยาบาลท่าแพ
โรงพยาบาลท้ายเหมืองชัยพัฒน,โรงพยาบาลท้ายเหมืองชัยพัฒน์
โรงพยาบาลท่าโรง้าง,โรงพยาบาลท่าโรงช้าง
โรงพยาบลท่าวังผา,โรงพยาบาลท่าวังผา
โรงพยาบาลท่าศาา,โรงพยาบาลท่าศาลา
โรงพยาบาลท่ใหม่,โรงพยาบาลท่าใหม่
โรงพยาาลท่าอุเทน,โรงพยาบาลท่าอุเทน
รงพยาบาลทุ่งเขาหลวง,โรงพยาบาลทุ่งเขาหลวง
โรงพยาบาลท่งช้าง,โรงพยาบาลทุ่งช้าง
โงพยาบาลทุ่งโพธิ์ทะเล,โรงพยาบาลทุ่งโพธิ์ทะเล
โรงพยาาลทุ่งยางแดง,โรงพยาบาลทุ่งยางแดง
โรงพยาบาลทุ่งศรอุดม,โรงพยาบาลทุ่งศรีอุดม
โรงพาบาลทุ่งสง,โรงพยาบาลทุ่งสง
โรงพยาบาลทุ่งเสลียม,โรงพยาบาลทุ่งเสลี่ยม
โรงพยาบาลทุงหว้า,โรงพยาบาลทุ่งหว้า
โรงพยาบาลเทพัญญา,โรงพยาบาลเทพปัญญา
โรงพยาบาลเทพรัตน์นครราสีมา,โรงพยาบาลเทพรัตน์นครราชสีมา
โรงพาบาลเทพรัตนเวชชานุกูล เฉลิมพระเกียรติ 60 พรรษา,โรงพยาบาลเทพรัตนเวชชานุกูล เฉลิมพระเกียรติ 60 พรรษา
โงพยาบาลเทพากร,โรงพยาบาลเทพากร
โรงพยาบาลเทพารักษ,โรงพยาบาลเทพารักษ์
โงพยาบาลเทิง,โรงพยาบาลเทิง
โรงพยาบลไทยเจริญ,โรงพยาบาลไทยเจริญ
โรงพยาบาลไทยนรินทร์,โรงพยาบาลไทยนครินทร์
โรพยาบาลไทรงาม,โรงพยาบาลไทรงาม
โรงพยาบาลไทร้อย,โรงพยาบาลไทรน้อย
โรงพยาบาลนกาญจน์,โรงพยาบาลธนกาญจน์
โรงพยาบาลนบุรีชุมพร,โรงพยาบาลธนบุรีชุมพร
โรงพยาบาลธัญญรกษ์ปัตตานี,โรงพยาบาลธัญญรักษ์ปัตตานี
โรงพยาบาลธัญญรักษ์แม่ฮ่องอน,โรงพยาบาลธัญญรักษ์แม่ฮ่องสอน
โรงพยาบาลธัญญารักษ์เชียงใม่,โรงพยาบาลธัญญารักษ์เชียงใหม่
โรงพยาบาลธญญารักษ์สงขลา,โรงพยาบาลธัญญารักษ์สงขลา
โรพยาบาลธัญญารักษ์อุดรธานี,โรงพยาบาลธัญญารักษ์อุดรธานี
โรงพยาบาลธีรวัฒน์,โรงพยาบาลธีรวัฒน์
โรงพยาบาลครคริสเตียน,โรงพยาบาลนครคริสเตียน
โรงพยาาลนครชัยศรี,โรงพยาบาลนครชัยศรี
โรงพยาบาลนครนม,โรงพยาบาลนครพนม
โรงพยบาลนครพิงค์,โรงพยาบาลนครพิงค์
โรงพาบาลนครินทร์,โรงพยาบาลนครินทร์
โรงพยาบาลนนทวช,โรงพยาบาลนนทเวช
โรงพยาาลนพรัตนราชธานี,โรงพยาบาลนพรัตนราชธานี
โรงพาบาลนภาลัย,โรงพยาบาลนภาลัย
โรงพยาบาลนราธิวาสรชนครินทร์,โรงพยาบาลนราธิวาสราชนครินทร์
โรงพยาบาลนวมินทร9,โรงพยาบาลนวมินทร์9
โรงพยาบาลอร์ทอีสเทอร์นวัฒนา,โรงพยาบาลนอร์ทอีสเทอร์นวัฒนา
โรงพยบาลนาแก,โรงพยาบาลนาแก
โรงพยาบาลางรอง,โรงพยาบาลนางรอง
โรงพยาบาลาจะหลวย,โรงพยาบาลนาจะหลวย
โรงพยาบลนาด้วง,โรงพยาบาลนาด้วง
โรงพยาบลนาดูน,โรงพยาบาลนาดูน
โรงพยาบาลน่า,โรงพยาบาลน่าน
โรงพยาบลนาน้อย,โรงพยาบาลนาน้อย
โรงพยาบานาโพธิ์,โรงพยาบาลนาโพธิ์
โรงพยาบาลนายแพทย์หา,โรงพยาบาลนายแพทย์หาญ
โรงพยาบาลนายยอาม,โรงพยาบาลนายายอาม
โรงพาบาลนาเยีย,โรงพยาบาลนาเยีย
โรงพยาบาลนาวัง เฉลิมพระเกียรติ 80 พรรษ,โรงพยาบาลนาวัง เฉลิมพระเกียรติ 80 พรรษา
โรงพยบาลนาหมื่น,โรงพยาบาลนาหมื่น
โรงพยาบาลาแห้ว,โรงพยาบาลนาแห้ว
โรงพยาบาลนำพอง,โรงพยาบาลน้ำพอง
โรงพยาบาลน้ำหนว,โรงพยาบาลน้ำหนาว
โรงพยาบาลนิคมคำสรอย,โรงพยาบาลนิคมคำสร้อย
โรงพยาบาลนิคมพัฒา,โรงพยาบาลนิคมพัฒนา
โรงพยาบาลเนินมะราง,โรงพยาบาลเนินมะปราง
โรพยาบาลเนินสง่า,โรงพยาบาลเนินสง่า
โรงพยาบลโนนคูณ,โรงพยาบาลโนนคูณ
โงพยาบาลโนนดินแดง,โรงพยาบาลโนนดินแดง
โงพยาบาลโนนนารายณ์,โรงพยาบาลโนนนารายณ์
รงพยาบาลโนนศิลา,โรงพยาบาลโนนศิลา
โงพยาบาลโนนสัง,โรงพยาบาลโนนสัง
โรงพยาบาลโนนสูง,โรงพยาบาลโนนสูง
โรงพยาบาลบางระทุ่ม,โรงพยาบาลบางกระทุ่ม
โรงพยบาลบางขัน,โรงพยาบาลบางขัน
โรงพยาบลบางคล้า,โรงพยาบาลบางคล้า
โรงพยาบาลบาไทร,โรงพยาบาลบางไทร
โรงยาบาลบางนา1,โรงพยาบาลบางนา1
โรงยาบาลบางนา2,โรงพยาบาลบางนา2
โรงพาบาลบางนา5,โรงพยาบาลบางนา5
โรงพยาบาลบางบัวทอ,โรงพยาบาลบางบัวทอง
โรงพยาบาบางปะกง,โรงพยาบาลบางปะกง
โรงพยาบาลบงปะกอก8,โรงพยาบาลบางปะกอก8
โรงพยาบาลบางะอิน,โรงพยาบาลบางปะอิน
โรงพยบาลบางโพ,โรงพยาบาลบางโพ
โรงพยาบาลบงมูลนาก,โรงพยาบาลบางมูลนาก
โรงพยาบาลางระจัน,โรงพยาบาลบางระจัน
โรงยาบาลบางเสาธง,โรงพยาบาลบางเสาธง
โรงพยาาลบางใหญ่,โรงพยาบาลบางใหญ่
โรงพยาบลบ้านเขว้า,โรงพยาบาลบ้านเขว้า
โรงพยาบลบ้านฉาง,โรงพยาบาลบ้านฉาง
โรงพยาาลบ้านดอนอินเตอร์เกาะสมุย,โรงพยาบาลบ้านดอนอินเตอร์เกาะสมุย
โรงพยาบาลบ้านด่น,โรงพยาบาลบ้านด่าน
โรงพยาบาลบ้นด่านลานหอย,โรงพยาบาลบ้านด่านลานหอย
โรงยาบาลบ้านตาก,โรงพยาบาลบ้านตาก
โรงพยาบาลบ้านนาเิม,โรงพยาบาลบ้านนาเดิม
โรงพยาบาล้านบึง,โรงพยาบาลบ้านบึง
โรงพยาบลบ้านผือ,โรงพยาบาลบ้านผือ
โรงพยาบาลบ้นไผ่,โรงพยาบาลบ้านไผ่
โรพยาบาลบ้านฝาง,โรงพยาบาลบ้านฝาง
โรงพยาบาล้านแพง,โรงพยาบาลบ้านแพง
โรงพยาบาลบ้าแพรก,โรงพยาบาลบ้านแพรก
โรงพยาบาลบ้านพ้ว,โรงพยาบาลบ้านแพ้ว
โรงพยบาลบ้านแพ้วสาขาพร้อมมิตร,โรงพยาบาลบ้านแพ้วสาขาพร้อมมิตร
รงพยาบาลบ้านโพธิ์,โรงพยาบาลบ้านโพธิ์
โรงพาบาลบ้านม่วง,โรงพยาบาลบ้านม่วง
โรงพยาบาล้านลาด,โรงพยาบาลบ้านลาด
โรงพยบาลบ้านสร้าง,โรงพยาบาลบ้านสร้าง
โรงพยาาลบ้านหมี่,โรงพยาบาลบ้านหมี่
โรงพยาบาบ้านเหลื่อม,โรงพยาบาลบ้านเหลื่อม
โรงพยาบาลบารุงรษฎร์,โรงพยาบาลบารุงราษฎร์
โรงพยาบาบำเหน็จณรงค์,โรงพยาบาลบำเหน็จณรงค์
โรงพยาบลบีเอ็นเอช,โรงพยาบาลบีเอ็นเอช
โงพยาบาลบึงกาฬ,โรงพยาบาลบึงกาฬ
โรงพยาาลบึงโขงหลง,โรงพยาบาลบึงโขงหลง
โรงพยาบาลบึงนราง,โรงพยาบาลบึงนาราง
โรงพยาบาลบึงบูรพ,โรงพยาบาลบึงบูรพ์
โรงพยาบาลเบญจลักษ์เฉิมพระเกียรติ 80 พรรษา,โรงพยาบาลเบญจลักษ์เฉลิมพระเกียรติ 80 พรรษา
รงพยาบาลเบตง,โรงพยาบาลเบตง
โงพยาบาลปง,โรงพยาบาลปง
โรงพยาบาลปุมรัตต์,โรงพยาบาลปทุมรัตต์
โรงพยาบาลปทมราชวงศา,โรงพยาบาลปทุมราชวงศา
โรงพยาบาลปทุมเว,โรงพยาบาลปทุมเวช
โรงยาบาลประโคนชัย,โรงพยาบาลประโคนชัย
โรงพยาบาลปะจวบคีรีขันธ์,โรงพยาบาลประจวบคีรีขันธ์
รงพยาบาลประจักษ์ศิลปาคม,โรงพยาบาลประจักษ์ศิลปาคม
โรงพยาบาลประจันคาม,โรงพยาบาลประจันตคาม
โรงพยาบาลประชารักษ์เวชกร,โรงพยาบาลประชารักษ์เวชการ
โรงพยาบาลระสาทเชียงใหม่,โรงพยาบาลประสาทเชียงใหม่
โรพยาบาลปรางค์กู่,โรงพยาบาลปรางค์กู่
โรงพยาบาปราณบุรี,โรงพยาบาลปราณบุรี
โรงพาบาลปราสาท,โรงพยาบาลปราสาท
โรงพยาบาลลวกแดง,โรงพยาบาลปลวกแดง
โรงพยาาลปลายพระยา,โรงพยาบาลปลายพระยา
โรงพยบาลปะนาเระ,โรงพยาบาลปะนาเระ
โรงยาบาลปักธงชัย,โรงพยาบาลปักธงชัย
โรงพยาบาลปกเกร็ด,โรงพยาบาลปากเกร็ด
โรงยาบาลปากชม,โรงพยาบาลปากชม
โรงพยาบาลากท่อ,โรงพยาบาลปากท่อ
โรงพยบาลปากน้าโพ2,โรงพยาบาลปากน้าโพ2
โรงพยาบาลากน้ำหลังสวน,โรงพยาบาลปากน้ำหลังสวน
โรงพยาบลปางมะผ้า,โรงพยาบาลปางมะผ้า
โรงพยาบาลปาดังเบซา์,โรงพยาบาลปาดังเบซาร์
โรงพาบาลป่าแดด,โรงพยาบาลป่าแดด
โรงพยาบาลป่าต้ว,โรงพยาบาลป่าติ้ว
โรงพยบาลป่าโมก,โรงพยาบาลป่าโมก
โรงพาบาลปาย,โรงพยาบาลปาย
โรงพยาบาลปิยะเวชช์บ่วิน,โรงพยาบาลปิยะเวชช์บ่อวิน
โรงพยบาลปิยะเวท,โรงพยาบาลปิยะเวท
โรงพยาบาลเปาโลเมโเรียล,โรงพยาบาลเปาโลเมโมเรียล
โรงพยาบาแปลงยาว,โรงพยาบาลแปลงยาว
โรงพยาบาลผักห่,โรงพยาบาลผักไห่
โรงพยาบาลเฝ้าร่,โรงพยาบาลเฝ้าไร่
โรงพยบาลพญาไท1,โรงพยาบาลพญาไท1
โรงพยาบาลพญาท2,โรงพยาบาลพญาไท2
รงพยาบาลพญาไท3,โรงพยาบาลพญาไท3
โรงยาบาลพญาเม็งราย,โรงพยาบาลพญาเม็งราย
โรงพยาาลพนม,โรงพยาบาลพนม
โรพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา,โรงพยาบาลพนมดงรัก เฉลิมพระเกียรติ 80 พรรษา
โรงพาบาลพนมสารคาม,โรงพยาบาลพนมสารคาม
โรงพยาบาลบพระ,โรงพยาบาลพบพระ
รงพยาบาลพยุห์,โรงพยาบาลพยุห์
โรงพยาาลพร้อมแพทย์,โรงพยาบาลพร้อมแพทย์
โรงพยาบาลพระนรศรีอยุธยา,โรงพยาบาลพระนครศรีอยุธยา
โรงพยบาลพระนั่งเกล้า,โรงพยาบาลพระนั่งเกล้า
โรงพยาบาลพระนรายณ์มหาราช,โรงพยาบาลพระนารายณ์มหาราช
โรงพยาบาลพระปกกล้า,โรงพยาบาลพระปกเกล้า
โงพยาบาลพระพุทธบาท,โรงพยาบาลพระพุทธบาท
โรงพยาบาลระราม2,โรงพยาบาลพระราม2
โรงพยาบาลพระรามเา้,โรงพยาบาลพระรามเกา้
โรพยาบาลพระศรีมหาโพธิ์,โรงพยาบาลพระศรีมหาโพธิ์
โรพยาบาลพระแสง,โรงพยาบาลพระแสง
โรงพยาบาลล,โรงพยาบาลพล
โรงพยาบาลพลับพาชัย,โรงพยาบาลพลับพลาชัย
โรงพยาบาลพหลพลยุหเสนา,โรงพยาบาลพหลพลพยุหเสนา
โรงพยาบาลพ่อท่านคล้ายวาจาสิธิ์,โรงพยาบาลพ่อท่านคล้ายวาจาสิทธิ์
โรงพยาบาลพะโ๊ะ,โรงพยาบาลพะโต๊ะ
โรงพยาบาลพะเยาาม,โรงพยาบาลพะเยาราม
โรงพยาบาลพัโคน,โรงพยาบาลพังโคน
โรงพยาบาลพัฒนเวชสุโขทั,โรงพยาบาลพัฒนเวชสุโขทัย
โรงพยาบาลพัทุง,โรงพยาบาลพัทลุง
โรงพยาบาลพานทง,โรงพยาบาลพานทอง
โรงพยาบาลพิบูลมังสาาร,โรงพยาบาลพิบูลมังสาหาร
โรพยาบาลพิปูน,โรงพยาบาลพิปูน
โรงพยาบาลพุทธชินาช,โรงพยาบาลพุทธชินราช
โรงพาบาลพุทธมณฑล,โรงพยาบาลพุทธมณฑล
โรงพยาบาพุทธโสธร,โรงพยาบาลพุทธโสธร
โรงพยาาลพุทไธสง,โรงพยาบาลพุทไธสง
โรงพยาบาลพุนพิ,โรงพยาบาลพุนพิน
โรพยาบาลเพชรเกษม2,โรงพยาบาลเพชรเกษม2
โรงพยบาลเพชรบูรณ์,โรงพยาบาลเพชรบูรณ์
โรงพยาบาเพชรรัชต์เพชรบุรี,โรงพยาบาลเพชรรัชต์เพชรบุรี
โรงพยาบาลเพชเวช,โรงพยาบาลเพชรเวช
โรงพยาบลเพ็ญ,โรงพยาบาลเพ็ญ
โรงพยาาลแพทย์รังสิต,โรงพยาบาลแพทย์รังสิต
โรพยาบาลแพร่,โรงพยาบาลแพร่
โรงพยบาลแพร่ราม,โรงพยาบาลแพร่ราม
รงพยาบาลโพธาราม,โรงพยาบาลโพธาราม
โรงพยาบาลโพิ์ตาก,โรงพยาบาลโพธิ์ตาก
โรงพยาบาลพธิ์ไทร,โรงพยาบาลโพธิ์ไทร
โรงพยาาลโพธิ์ประทับช้าง,โรงพยาบาลโพธิ์ประทับช้าง
โรงพยาาลโพธิ์ศรีสุวรรณ,โรงพยาบาลโพธิ์ศรีสุวรรณ
โรงพาบาลโพนทราย,โรงพยาบาลโพนทราย
โรงพยาาลโพนนาแก้ว,โรงพยาบาลโพนนาแก้ว
โรงพยาบาลไพรบึ,โรงพยาบาลไพรบึง
โรงพยาบาลภัทรนบุรี,โรงพยาบาลภัทรธนบุรี
โรงพยาาลภูกระดึง,โรงพยาบาลภูกระดึง
โรงพยาบาลภูขียวเฉลิมพระเกียรติ,โรงพยาบาลภูเขียวเฉลิมพระเกียรติ
โรงพยาบลภูซาง,โรงพยาบาลภูซาง
รงพยาบาลภูผาม่าน,โรงพยาบาลภูผาม่าน
โรงพยบาลภูเวียง,โรงพยาบาลภูเวียง
โรงพยบาลมโนรมย์,โรงพยาบาลมโนรมย์
รงพยาบาลม่วงสามสิบ,โรงพยาบาลม่วงสามสิบ
โรงยาบาลมหาชนะชัย,โรงพยาบาลมหาชนะชัย
โรงพยาบาลมหาัย,โรงพยาบาลมหาชัย
โรพยาบาลมหาชัย2,โรงพยาบาลมหาชัย2
โรงพยาบาลมหาราชครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา
โรงพยบาลมหาราชนครศรีธรรมราช,โรงพยาบาลมหาราชนครศรีธรรมราช
โรงพยาบาลมหาวชิราลงกรณ ธัญบรี,โรงพยาบาลมหาวชิราลงกรณ ธัญบุรี
โรพยาบาลมหาสารคาม,โรงพยาบาลมหาสารคาม
โรงพยาาลมหาสารคามอินเตอร์เนชั่นแนล,โรงพยาบาลมหาสารคามอินเตอร์เนชั่นแนล
โรงพยาบาลมะการัษ์,โรงพยาบาลมะการักษ์
โรงพยาบาลมะเร็งชลบรี,โรงพยาบาลมะเร็งชลบุรี
โรงพยบาลมะเร็งลพบุรี,โรงพยาบาลมะเร็งลพบุรี
รงพยาบาลมะเร็งลำปาง,โรงพยาบาลมะเร็งลำปาง
โรงพยาบลมะเร็งสุราษฎร์ธานี,โรงพยาบาลมะเร็งสุราษฎร์ธานี
โรงพยาบาลมะเร็งุดรธานี,โรงพยาบาลมะเร็งอุดรธานี
โรงพยาบาลมิชชั่ภูเก็ต,โรงพยาบาลมิชชั่นภูเก็ต
โรงยาบาลมุกดาหารอินเตอร์เนชั่นแนล,โรงพยาบาลมุกดาหารอินเตอร์เนชั่นแนล
โรงพยาบาลมตตาประชารักษ์(วัดไร่ขิง),โรงพยาบาลเมตตาประชารักษ์(วัดไร่ขิง)
โรงพาบาลเมยวดี,โรงพยาบาลเมยวดี
รงพยาบาลเมโย,โรงพยาบาลเมโย
โรพยาบาลเมืองจันทร์,โรงพยาบาลเมืองจันทร์
โรพยาบาลเมืองปาน,โรงพยาบาลเมืองปาน
โรงพาบาลเมืองเพชร,โรงพยาบาลเมืองเพชร
โรงพยาบาลเมืองสมุทรากน้า,โรงพยาบาลเมืองสมุทรปากน้า
โรงพยาบาลเมืองสมุทรปูเจา้สมิงพราย,โรงพยาบาลเมืองสมุทรปู่เจา้สมิงพราย
โรงพยาบาลเมืองสรง,โรงพยาบาลเมืองสรวง
รงพยาบาลแม่ทะ,โรงพยาบาลแม่ทะ
โรงพาบาลแม่พริก,โรงพยาบาลแม่พริก
โรงพยาบาลม่ฟ้าหลวง,โรงพยาบาลแม่ฟ้าหลวง
โรงพยาบาลแ่เมาะ,โรงพยาบาลแม่เมาะ
โรงพยาบาลแ่ลาน,โรงพยาบาลแม่ลาน
โงพยาบาลแม่ลาน้อย,โรงพยาบาลแม่ลาน้อย
รงพยาบาลแม่วาง,โรงพยาบาลแม่วาง
โงพยาบาลแม่สอด,โรงพยาบาลแม่สอด
โรงพยาบาลแมสอด-ราม,โรงพยาบาลแม่สอด-ราม
โรงพยาบาลม่สาย,โรงพยาบาลแม่สาย
โรงพยาบาลม่ออน,โรงพยาบาลแม่ออน
โรงยาบาลยโสธร,โรงพยาบาลยโสธร
โรงพยาบาลยะัง,โรงพยาบาลยะรัง
โรงพาบาลยะลา,โรงพยาบาลยะลา
โรงพยาบายะหริ่ง,โรงพยาบาลยะหริ่ง
โรงพยาบาลยัฮี,โรงพยาบาลยันฮี
โงพยาบาลยางตลาด,โรงพยาบาลยางตลาด
โรงพยาบาลยางสีสุรช,โรงพยาบาลยางสีสุราช
โงพยาบาลย่านตาขาว,โรงพยาบาลย่านตาขาว
โรพยาบาลยี่งอเฉลิมพระเกียรติ 80 พรรษา,โรงพยาบาลยี่งอเฉลิมพระเกียรติ 80 พรรษา
โรงยาบาลร่มฉัตร,โรงพยาบาลร่มฉัตร
รงพยาบาลรวมชัยประชารักษ์,โรงพยาบาลรวมชัยประชารักษ์
โรงพยาบลรวมแพทย์กระบี่,โรงพยาบาลรวมแพทย์กระบี่
โรงพยาบาลรวมแพทย์ชยนาท,โรงพยาบาลรวมแพทย์ชัยนาท
โรงพยาบาลรวมแทย์พิษณุโลก,โรงพยาบาลรวมแพทย์พิษณุโลก
โรงยาบาลรวมแพทย์ระยอง,โรงพยาบาลรวมแพทย์ระยอง
โรงพยาบารวมแพทย์สุโขทัย,โรงพยาบาลรวมแพทย์สุโขทัย
โรงพยาบาลรวมแพทยหนองคาย,โรงพยาบาลรวมแพทย์หนองคาย
โรงพยาบาลรอ้งวาง,โรงพยาบาลรอ้งกวาง
โรงพยาาลร้องกวาง,โรงพยาบาลร้องกวาง
โรงพยาบาลร่งคำ,โรงพยาบาลร่องคำ
โรงพยาบาลร้อเอ็ด,โรงพยาบาลร้อยเอ็ด
โรพยาบาลรอ้ยเอ็ดธนบุรี,โรงพยาบาลรอ้ยเอ็ดธนบุรี
โรงยาบาลระนอง,โรงพยาบาลระนอง
โรงพยาบารัตนบุรี,โรงพยาบาลรัตนบุรี
โรงยาบาลรัตนวาปี,โรงพยาบาลรัตนวาปี
โรงพยาบาลรัทริทร์,โรงพยาบาลรัทรินทร์
โรงพยาบาลรัษฎ,โรงพยาบาลรัษฎา
โรงพยาบาลราชดาเนินตรั,โรงพยาบาลราชดาเนินตรัง
โรงพยาบาลราพฤกษ์,โรงพยาบาลราชพฤกษ์
โรงพยาบาลราชวชเชียงใหม่,โรงพยาบาลราชเวชเชียงใหม่
โรงพยาบาลราชเวอุบลราชธานี,โรงพยาบาลราชเวชอุบลราชธานี
โรงพยาบาลราชสาสน,โรงพยาบาลราชสาส์น
โรงพยาบาลรษีไศล,โรงพยาบาลราษีไศล
โรงพยาบาลโรคผิวหนังเขตร้อนภาคใต้ จัหวัดตรัง,โรงพยาบาลโรคผิวหนังเขตร้อนภาคใต้ จังหวัดตรัง
โรงพยบาลลอง,โรงพยาบาลลอง
โรงพยาบลลับแล,โรงพยาบาลลับแล
โรงพยาบาลาดบัวหลวง,โรงพยาบาลลาดบัวหลวง
โรงพยาบลลาดหลุมแก้ว,โรงพยาบาลลาดหลุมแก้ว
โรงพยาบาลลานกระือ,โรงพยาบาลลานกระบือ
โรพยาบาลลานนา,โรงพยาบาลลานนา
โรงยาบาลลานสะกา,โรงพยาบาลลานสะกา
โรงพยาบาลานสัก,โรงพยาบาลลานสัก
โรงพยาบาลลทะเมนชัย,โรงพยาบาลลำทะเมนชัย
โงพยาบาลลำลูกกา,โรงพยาบาลลำลูกกา
โรงพาบาลลี้,โรงพยาบาลลี้
รงพยาบาลลืออำนาจ,โรงพยาบาลลืออำนาจ
โรงพยาบาลวชิระภูเ็ต,โรงพยาบาลวชิระภูเก็ต
โรงพาบาลวังจันทร์,โรงพยาบาลวังจันทร์
โงพยาบาลวังเจ้า,โรงพยาบาลวังเจ้า
โรงยาบาลวังทรายพูน,โรงพยาบาลวังทรายพูน
โรงพยาบาลวงน้อย,โรงพยาบาลวังน้อย
โรงพยบาลวังสามหมอ,โรงพยาบาลวังสามหมอ
โรงพยาบาลังหิน,โรงพยาบาลวังหิน
รงพยาบาลวังเหนือ,โรงพยาบาลวังเหนือ
โรงพยาบาลวัฒนแพทย์ตรั,โรงพยาบาลวัฒนแพทย์ตรัง
โรงพยาบาลวัดญาณสังราราม,โรงพยาบาลวัดญาณสังวราราม
โรงพยาบาลวัโบสถ์,โรงพยาบาลวัดโบสถ์
โรงพยาาลวัดเพลง,โรงพยาบาลวัดเพลง
โรงพยาบลวานรนิวาส,โรงพยาบาลวานรนิวาส
โรงพยาบาลวาปีปทม,โรงพยาบาลวาปีปทุม
โรงพยาาลวารินชำราบ,โรงพยาบาลวารินชำราบ
โงพยาบาลวิชัยเวชอินเตอร์เนชั่นแนลสมุทรสาคร(ศรีวิชัย5),โรงพยาบาลวิชัยเวชอินเตอร์เนชั่นแนลสมุทรสาคร(ศรีวิชัย5)
โรงพยาบาลวิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย),โรงพยาบาลวิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2)
โรงพยาบาลวิชัยเวชอินเตอร์เนชั่นแนออ้มนอ้ย(ศรีวิชัย3),โรงพยาบาลวิชัยเวชอินเตอร์เนชั่นแนลออ้มนอ้ย(ศรีวิชัย3)
โรงพยาบาลวเชียรบุรี,โรงพยาบาลวิเชียรบุรี
โรงพยาบาลวภาราม,โรงพยาบาลวิภาราม
โรงพยาบาลวิภารามปากเกร็,โรงพยาบาลวิภารามปากเกร็ด
โรงพยาบาลวิภารามแลมฉบัง,โรงพยาบาลวิภารามแหลมฉบัง
โรงพยาบาลวิภารามอตะนคร,โรงพยาบาลวิภารามอมตะนคร
โรงพยาบาลวิภาวด,โรงพยาบาลวิภาวดี
โรงพาบาลวิภาวดีปิยราษฎร์,โรงพยาบาลวิภาวดีปิยราษฎร์
โรงพยาบาลวิเศษัยชาญ,โรงพยาบาลวิเศษชัยชาญ
โรพยาบาลเวชธานี,โรงพยาบาลเวชธานี
โรงพยาบาลเวียงก่น,โรงพยาบาลเวียงแก่น
โรงพยาบาลเวียงชียงรุ้ง,โรงพยาบาลเวียงเชียงรุ้ง
รงพยาบาลเวียงสา,โรงพยาบาลเวียงสา
โรงพยาบาลเวียงหนอง่อง,โรงพยาบาลเวียงหนองล่อง
โรงพยาบาลแวใหญ่,โรงพยาบาลแวงใหญ่
โรพยาบาลศรีเชียงใหม่,โรงพยาบาลศรีเชียงใหม่
โรงพยาบาลศีณรงค์,โรงพยาบาลศรีณรงค์
โรงพยบาลศรีธัญญา,โรงพยาบาลศรีธัญญา
โงพยาบาลศรีธาตุ,โรงพยาบาลศรีธาตุ
โงพยาบาลศรีนคร,โรงพยาบาลศรีนคร
โรงพยาบาลศรีนครนทร์(ปัญญานันทภิขุ),โรงพยาบาลศรีนครินทร์(ปัญญานันทภิขุ)
โรงพยาบาลศรีนครินทรมหาวิทยาลัยขอนแก่นเฉพาะหอผู้ป่วยพิเศษช้ัน14,โรงพยาบาลศรีนครินทร์มหาวิทยาลัยขอนแก่นเฉพาะหอผู้ป่วยพิเศษช้ัน14
โรงพยาบาลศีบรรพต,โรงพยาบาลศรีบรรพต
โรพยาบาลศรีบุญเรือง,โรงพยาบาลศรีบุญเรือง
โรงพยาาลศรีเมืองใหม่,โรงพยาบาลศรีเมืองใหม่
โรงพยาบาศรีสมเด็จ,โรงพยาบาลศรีสมเด็จ
